RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-2663634	-3676763	21.965	102.095833	215754	1020545	48QTK0006331798	NF48-09	T	MT		LA	18				V				CAIPANGLENG	Cai Pang Leng	Cai Pang Leng	CAIPANGLENG	Cai Pang Leng	Cai Pang Leng		2001-05-24
5	-2659851	-3670839	20.7075	104.252222	204227	1041508	48QVH2213289956	NF48-14	P	PPL		LA	03				V				BANNALUONG	Ban Na Luong	Ban Na Luong	BANNALUONG	Ban Na Luong	Ban Na Luong		2001-07-18
5	-2659851	9072661	20.7075	104.252222	204227	1041508	48QVH2213289956	NF48-14	P	PPL		LA	03				N				BANNALUANG	Ban Naluang	Ban Naluang	BANNALUANG	Ban Naluang	Ban Naluang		2001-07-18
5	-2661091	-3672795	19.760278	100.5675	194537	1003403	47QPB6423185714	NE47-04	P	PPL		LA	13				N				BANPANGHAI	Ban Panghai	Ban Panghai	BANPANGHAI	Ban Panghai	Ban Panghai		2000-09-21
5	-2661690	-3673653	20.219444	101.983889	201310	1015902	47QRC1180438573	NF47-16	P	PPL		LA	07				N				BANPHOUKEU	Ban Phoukeu	Ban Phoukeu	BANPHOUKEU	Ban Phoukeu	Ban Phoukeu		2001-05-18
5	-2661749	-3673732	20.683333	104.25	204100	1041500	48QVH2188887282	NF48-14	P	PPL		LA	03				N				BANPHOUTHENG	Ban Phou Théng	Ban Phou Theng	BANPHOUTHENG	Ban Phou Théng	Ban Phou Theng		1994-01-25
5	-2662289	-3674658	14.8	106.95	144800	1065700	48PYB0986937118	ND48-08	P	PPL		LA	01				N				BANSIXAO	Ban Sixao	Ban Sixao	BANSIXAO	Ban Sixao	Ban Sixao		1994-01-25
5	-2662289	-3684431	14.8	106.95	144800	1065700	48PYB0986937118	ND48-08	P	PPL		LA	01				V				SISAO	Si Sao	Si Sao	SISAO	Si Sao	Si Sao		1994-01-25
5	-2656731	-3665918	16.535278	106.308611	163207	1061831	48QXD3964228600	NE48-15	P	PPL		LA	20				V				BANCHIAOE	Ban Chiaoe	Ban Chiaoe	BANCHIAOE	Ban Chiaoe	Ban Chiaoe		2001-09-12
5	-2656731	-3665914	16.535278	106.308611	163207	1061831	48QXD3964228600	NE48-15	P	PPL		LA	20				V				BANCHIANE	Ban Chiane	Ban Chiane	BANCHIANE	Ban Chiane	Ban Chiane		2001-09-12
5	-2656731	-3665867	16.535278	106.308611	163207	1061831	48QXD3964228600	NE48-15	P	PPL		LA	20				N				BANCHAN	Ban Chan	Ban Chan	BANCHAN	Ban Chan	Ban Chan		2001-09-12
5	-2659310	-3681087	19.793056	101.983889	194735	1015902	47QRB1264691340	NE47-04	P	PPL		LA	17				V				MUNGKHAY	Mung Khay	Mung Khay	MUNGKHAY	Mung Khay	Mung Khay		2001-05-21
5	-2659310	-3681145	19.793056	101.983889	194735	1015902	47QRB1264691340	NE47-04	P	PPL		LA	17				V				MUONGKHAY	Muong Khay	Muong Khay	MUONGKHAY	Muong Khay	Muong Khay		2001-05-21
5	-2659310	-3670022	19.793056	101.983889	194735	1015902	47QRB1264691340	NE47-04	P	PPL		LA	17				N				BANMUANGKHAY	Ban Muangkhay	Ban Muangkhay	BANMUANGKHAY	Ban Muangkhay	Ban Muangkhay		2001-05-21
5	-2664105	-3677512	20.405278	101.940556	202419	1015626	47QRC0690559078	NF47-16	T	MT		LA	07				N			Phou	PHOUHAI	Phou Hai	Phou Hai	HAI PHOU	Hai, Phou	Hai, Phou		2001-05-21
5	-2657818	-3667423	20.016667	103.716667	200100	1034300	48QUH6576213840	NF48-14	P	PPL		LA	03				N				BANHOUAYPHOUK	Ban Houayphouk	Ban Houayphouk	BANHOUAYPHOUK	Ban Houayphouk	Ban Houayphouk		1994-01-25
