RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-1029900	-1520971	13.103611	102.627222	130613	1023738	48PTV4273349802	ND48-09	P	PPL		CB	29				N				PHUMISAMSEB	Phumĭ Samsĕb	Phumi Samseb	PHUMISAMSEB	Phumĭ Samsĕb	Phumi Samseb		2009-05-14
5	-1029900	8001955	13.103611	102.627222	130613	1023738	48PTV4273349802	ND48-09	P	PPL		CB	29				V				PHUMSAMSOAP	Phum Samsŏap	Phum Samsoap	PHUMSAMSOAP	Phum Samsŏap	Phum Samsoap		2009-05-14
5	-1033279	-1529122	10.85	104.233333	105100	1041400	48PVS1620299499	NC48-05	H	STMI		CB	21				N				OTHUM	O Thum	O Thum	THUM O	Thum, O	Thum, O		2009-05-12
5	-1033279	-1529063	10.85	104.233333	105100	1041400	48PVS1620299499	NC48-05	H	STMI		CB	21				V				OTHOM	O Thom	O Thom	THOM O	Thom, O	Thom, O		2009-05-12
5	-1033033	-1528415	10.966667	104.233333	105800	1041400	48PVT1623512400	NC48-05	A	ADMD		CB	21				N		Ta Kên		SROKTAKEN	Srŏk Ta Kên	Srok Ta Ken	TAKEN SROK	Ta Kên, Srŏk	Ta Ken, Srok		2009-05-12
5	-1029892	-1520954	13.4	103.833333	132400	1035000	48PUV7368381669	ND48-10	P	PPL		CB	24				N		Phumĭ Sâmraông		PHUMISAMRAONGc	Phumĭ Sâmraông (2)	Phumi Samraong (2)	PHUMISAMRAONGc	Phumĭ Sâmraông (2)	Phumi Samraong (2)		2009-05-12
5	-1029892	-1524902	13.4	103.833333	132400	1035000	48PUV7368381669	ND48-10	P	PPL		CB	24				V				PHUMSAMRONG	Phum Samrong	Phum Samrong	PHUMSAMRONG	Phum Samrong	Phum Samrong		2009-05-12
5	-1022958	-1508403	13.416667	103.866667	132500	1035200	48PUV7730183496	ND48-10	S	RUIN		CB	24				V				ANGKORVAT	Angkor Vat	Angkor Vat	ANGKORVAT	Angkor Vat	Angkor Vat		2009-05-12
5	-1022958	-1508406	13.416667	103.866667	132500	1035200	48PUV7730183496	ND48-10	S	RUIN		CB	24				V				ANGKORWATH	Angkor Wath	Angkor Wath	ANGKORWATH	Angkor Wath	Angkor Wath		2009-05-12
5	-1022958	-1508405	13.416667	103.866667	132500	1035200	48PUV7730183496	ND48-10	S	RUIN		CB	24				N				ANGKORWAT	Angkor Wat	Angkor Wat	ANGKORWAT	Angkor Wat	Angkor Wat		2009-05-12
